,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
70,70,404,404,404,NC(=O)NC(N)=O,404,20.0,16.65098,-3.3490199999999994,-3.5278444203400583
81,81,457,457,457,FC(F)Cl,457,12.3,15.7675705,3.467570499999999,3.652725048091915
136,136,761,763,761,C#N,761,12.3,16.055342,3.755341999999999,3.955862407859217
138,138,785,787,785,CC1=CC(=O)CC(C)(C)C1,785,17.0,19.63967,2.639669999999999,2.7806179363034675
167,167,1027,1029,1027,CC=C,1027,13.3,15.23298,1.9329799999999988,2.036193485744762
176,176,1091,1093,1091,s1ccnc1,1091,20.5,17.588928,-2.9110720000000008,-3.066511729523317
8,8,42,42,42,FC(F)(Cl)C(F)(F)Cl,42,12.6,14.901509,2.301509000000001,2.4244004765610336
24,24,114,114,114,Cn1ccnc1,114,19.7,17.37856,-2.321439999999999,-2.445395713120323
44,44,234,234,234,CC1=CCC2CC1C2(C)C,234,16.9,18.82562,1.925620000000002,2.028440490858589
57,57,335,335,335,C#C.C#C,335,14.4,16.811045,2.4110449999999997,2.5397852656713895
73,73,426,426,426,CCCCCCCCCCCCCCCCCC(=O)OCCCC,426,14.5,17.18572,2.68572,2.829126824144288
99,99,580,580,580,CCCCCCOCCCCCC,580,16.0,18.055115,2.0551150000000007,2.164850011617477
122,122,706,707,706,OCCO.O[S](O)=O,706,20.0,16.513426,-3.486574000000001,-3.6727432598201037
143,143,859,861,859,CSc1ccccc1,859,19.6,17.317583,-2.2824170000000024,-2.404289039282926
145,145,866,868,866,CC1CCC[S]1(=O)=O,866,19.0,16.766928,-2.233072,-2.3523092114760784
158,158,927,929,927,O[N+]([O-])=O,927,13.5,16.808695,3.308695,3.4853662248529576
164,164,959,961,959,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,959,12.2,14.418021,2.2180210000000002,2.3364545476130565
173,173,997,999,997,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,997,12.4,14.429077,2.029076999999999,2.1374216854155375
181,181,1061,1063,1061,NCCc1c[nH]c2ccc(O)cc12,1061,18.0,20.42724,2.427240000000001,2.556845014609112
88,88,579,579,579,CCCCCC(CC)(CC)OC(=O)c1ccccc1C([O-])=O,579,16.6,18.92403,2.324029999999997,2.448124008875103
89,89,586,586,586,C=C1CC(=O)O1,586,16.2,18.128946,1.9289459999999998,2.0319440861019866
124,124,817,819,817,C,817,14.0,16.592916,2.592915999999999,2.7313674576474494
139,139,915,917,915,C[N+]1([O-])CCOCC1,915,19.0,16.707497,-2.292503,-2.4149135917859095
150,150,958,960,958,C[Si](C)(C)O[Si](C)(C)C,958,12.6,16.35119,3.7511899999999994,3.951488707483211
159,159,1003,1005,1003,C#Cc1ccccc1,1003,18.8,16.36547,-2.4345300000000023,-2.564524271772188
160,160,1006,1008,1006,O[P](O)(O)=O,1006,14.7,17.428555,2.728555,2.8742490437026262
161,161,1013,1015,1013,CCC,1013,13.1,15.44409,2.3440899999999996,2.4692551335241135
173,173,1081,1083,1081,CCO[Si](OCC)(OCC)OCC,1081,13.9,16.911234,3.011234,3.1720219841142416
177,177,1100,1102,1100,NC(N)=S,1100,20.0,18.001728,-1.998272,-2.104971820270339
181,181,1119,1121,1119,Cl[SiH](Cl)Cl,1119,14.2,17.201168,3.001168,3.1614184995321417
53,53,379,379,379,NC(=O)c1ccccc1,379,21.2,19.24533,-1.9546700000000001,-2.0590416459460092
63,63,406,406,406,[Br],406,18.2,16.266197,-1.933803000000001,-2.037060430689238
75,75,508,508,508,CC(CCl)OC(C)CCl,508,19.0,16.155499,-2.844501000000001,-2.99638610145706
89,89,608,608,608,C[S](C)(=O)=O,608,19.0,16.660654,-2.339345999999999,-2.4642578226898713
90,90,609,609,609,C[S](C)=O,609,18.4,16.312098,-2.0879019999999997,-2.1993877077225124
93,93,632,633,632,O=C1CCCCCN1,632,19.4,17.227629,-2.1723709999999983,-2.2883670181899625
112,112,725,726,725,OC=O,725,14.6,16.66062,2.060620000000002,2.170648956841446
115,115,747,749,747,OC(F)(C(F)F)C(F)(F)F,747,17.2,11.573037,-5.626963,-5.927420565720706
117,117,751,753,751,Cc1c(C)c(C)c(C)c(C)c1C,751,19.2,16.717941,-2.4820589999999996,-2.6145911323625493
120,120,769,771,769,IC(=C)C=C,769,17.2,19.152853,1.952853000000001,2.0571276253334854
139,139,863,865,863,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,863,17.0,20.89644,3.8964399999999983,4.104494482920321
142,142,878,880,878,ICI,878,22.0,17.053907,-4.946093000000001,-5.210194801026279
150,150,935,937,935,CCCCCCCCCc1ccccc1O,935,16.5,18.689426,2.189426000000001,2.3063326877257997
168,168,1028,1030,1028,CC1COC(=O)O1,1028,20.0,17.753138,-2.246862,-2.3668355429272165
