,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
113,113,778,778,778,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,778,-6.005,-2.9753253,3.0296746999999997,3.2953709254504453
123,123,854,854,854,CN(C)C(=O)C,854,1.11,-0.7387799,-1.8487799000000003,-2.010914085930474
132,132,893,893,893,CCOC(=O)N,893,0.85,-1.1267923,-1.9767923,-2.1501529095101577
135,135,905,905,905,CNC(=O)ON=C(SC)C(=O)N(C)C,905,0.106,-2.2129247,-2.3189246999999997,-2.5222896156768564
179,179,1111,1111,1111,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,1111,-4.88,-3.025422,1.854578,2.0172206673475657
188,188,1139,1139,1139,CNC(=O)C(C)SCCSP(=O)(OC)(OC),1139,1.144,-2.3086898,-3.4526898,-3.7554835776657187
54,54,384,384,384,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,384,-0.364,-2.2287853,-1.8647853000000003,-2.0283231265149975
62,62,406,406,406,CNC(=O)C=C(C)OP(=O)(OC)OC,406,0.651,-1.5148013,-2.1658013,-2.355737609164039
93,93,607,607,607,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,607,-5.47,-3.4730704,1.9969295999999996,2.1720562092066804
94,94,612,612,612,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,612,-7.32,-4.6837482,2.6362518,2.8674456481702153
95,95,619,619,619,CCN(CC)C(=S)SSC(=S)N(CC)CC,619,-4.86,-2.8440635,2.0159365000000005,2.192729975153548
106,106,671,671,671,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,671,-8.6,-5.4653554,3.1346445999999997,3.4095464692827386
113,113,699,699,699,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,699,-3.37,-6.024163,-2.6541629999999996,-2.886927623485891
116,116,719,719,719,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,719,-4.92,-2.1408079,2.7791921,3.0229215178057123
120,120,744,744,744,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,744,-6.62,-4.3573794,2.2626206,2.46104776217897
126,126,775,775,775,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,775,-4.64,-2.6704457,1.9695542999999995,2.14228015183145
135,135,806,806,806,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,806,-5.19,-2.3588798,2.8311202000000004,3.079403605124818
165,165,1025,1025,1025,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,1025,-3.685,-6.2478166,-2.5628166,-2.7875703325184595
183,183,1115,1115,1115,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,1115,-2.404,-4.542663,-2.138663,-2.3262193362002286
