,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
176,176,1091,1093,1091,s1ccnc1,1091,18.8,10.93039,-7.8696100000000015,-2.5808229391136113
181,181,1122,1124,1122,CC1(C)C2CC3C(C2)C13C,1122,0.0,6.348843,6.348843,2.0820904277633674
194,194,1176,1180,1176,O,1176,16.0,8.231582,-7.7684180000000005,-2.5476372240839225
6,6,28,28,28,[nH]1nnc2ccccc12,28,15.6,8.696839,-6.903160999999999,-2.263877912780233
40,40,203,203,203,CCCCCCOC(=O)c1ccccc1C(=O)OCC,203,6.2,12.458538,6.258538000000001,2.0524750827187397
72,72,417,417,417,C1OC1C2CO2,417,14.4,4.3680043,-10.0319957,-3.2899730263188522
76,76,444,444,444,O=C=S,444,3.7,11.6311,7.9311,2.600988462249585
81,81,473,473,473,[Ca++].NC#N,473,27.6,13.693809,-13.906191000000002,-4.560507665372902
111,111,637,638,637,NCCO,637,15.5,8.992428,-6.507572,-2.1341452874454307
145,145,866,868,866,CC1CCC[S]1(=O)=O,866,17.4,10.809283,-6.590716999999998,-2.161412524738333
165,165,961,963,961,OC(=O)C(O)=O,961,17.0,8.4877405,-8.5122595,-2.7915785637773354
186,186,1101,1103,1101,CC1=CNC(=O)NC1=O,1101,20.5,11.150976,-9.349024,-3.0659938164056015
188,188,1107,1109,1107,C/C=C/C#N,1107,18.8,11.89899,-6.901010000000001,-2.263172496610686
192,192,1138,1142,1138,Cc1ccc(c(c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1138,3.5,11.4774065,7.977406500000001,2.6161745867754593
16,16,115,115,115,Cc1cccc2ccccc12,115,0.8,7.9204926,7.1204926,2.335151378514147
18,18,124,124,124,CCCC=C,124,1.4,7.71423,6.31423,2.0707391632926324
46,46,282,282,282,CC(=O)c1ccc(cc1)C(F)(F)F,282,6.1,12.334315,6.2343150000000005,2.0445311980720864
52,52,304,304,304,COc1ccc(cc1)C#N,304,16.7,10.048751,-6.651249,-2.1812638736807113
68,68,443,443,443,O=C(C#N)C#N,443,6.3,14.85789,8.55789,2.8065429954484373
98,98,653,654,653,CCN=[CH+],653,15.2,6.7856407,-8.4143593,-2.759472388007022
112,112,734,735,734,CCOCC.OCC(O)CO.OC(O)=O,734,18.5,10.749509,-7.750491,-2.541758100108339
114,114,749,751,749,Fc1c(F)c(F)c(F)c(F)c1F,749,0.0,7.207371,7.207371,2.363642976907649
130,130,852,854,852,CN=C=S,852,16.2,5.67054,-10.52946,-3.453115453558588
139,139,915,917,915,C[N+]1([O-])CCOCC1,915,16.1,5.984142,-10.115858000000001,-3.317475500719341
160,160,1006,1008,1006,O[P](O)(O)=O,1006,18.6,11.792881,-6.807119000000002,-2.232381130002136
165,165,1047,1049,1047,c1ccnnc1,1047,17.4,9.854482,-7.545517999999998,-2.474537612651027
183,183,1129,1131,1129,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCO,1129,3.1,15.529296,12.429296,4.076162889118145
44,44,315,315,315,O=C1c2ccccc2C(=O)c3ccccc13,315,7.6,14.888092,7.288092000000001,2.3901152682242697
63,63,406,406,406,[Br],406,14.9,5.8066554,-9.0933446,-2.98214426597314
65,65,441,441,441,ClC(Cl)(Cl)Cl,441,0.0,6.3118744,6.3118744,2.0699666489602353
80,80,550,550,550,COC(Cl)Cl,550,12.9,6.388411,-6.511589000000001,-2.1354626546016715
130,130,815,817,815,CC(=C)C(O)=O,815,2.8,11.734286,8.934286,2.9299813146269744
156,156,962,964,962,ClC(=O)C(Cl)=O,962,3.8,10.854019,7.054018999999999,2.313351493675449
160,160,995,997,995,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,995,0.0,6.1291704,6.1291704,2.010049235738003
184,184,1094,1096,1094,SC#N,1094,8.9,15.536098,6.6360980000000005,2.176295133380937
