,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
62,62,403,403,403,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,403,16.3,7.3008323,-8.999167700000001,-2.7140072291168056
113,113,744,746,744,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,744,0.0,6.8944936,6.8944936,2.0792706720533216
127,127,828,830,828,CN,828,16.0,5.5545135,-10.445486500000001,-3.150194197696971
130,130,852,854,852,CN=C=S,852,10.1,2.7609243,-7.3390756999999995,-2.213349630637006
161,161,1013,1015,1013,CCC,1013,0.0,7.4789157,7.4789157,2.2555231719656885
172,172,1077,1079,1077,CC(C)(C)O,1077,14.7,5.497931,-9.202068999999998,-2.775199065223737
179,179,1113,1115,1113,OC(=O)C(Cl)(Cl)Cl,1113,13.0,5.57555,-7.42445,-2.239097174754979
184,184,1133,1137,1133,CN(C)C,1133,1.8,11.289609,9.489609,2.8619166000753484
50,50,345,345,345,OCC(O)C(O)C(O)CO,345,36.0,17.037968,-18.962032,-5.71865017325371
115,115,747,749,747,OC(F)(C(F)F)C(F)(F)F,747,14.7,5.2389197,-9.461080299999999,-2.853312793521404
131,131,819,821,819,CO,819,10.0,22.303936,12.303936,3.7106732937747684
139,139,863,865,863,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,863,32.8,12.559358,-20.240641999999998,-6.10425880939692
142,142,878,880,878,ICI,878,5.5,14.607049,9.107049,2.746542529918736
190,190,1124,1126,1124,OCCN(CCO)CCO,1124,21.0,13.300462,-7.699538,-2.3220593825426263
