,Unnamed: 0,smiles,exp,predict,residual,std_residual
193,193,S,10.2,17.584936,7.384936,2.699698566845111
195,195,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,9.0,3.1773345,-5.822665499999999,-2.128581981694692
0,0,N=C=O,13.6,5.2659683,-8.3340317,-3.0466578771341726
14,14,CCO[Si](OCC)(OCC)OCC,0.6,6.17591,5.57591,2.0383759907814127
38,38,[Ca++].NC#N,16.8,9.691141,-7.108859000000001,-2.5987735647545183
51,51,[O-][O+]=O,0.0,6.8091946,6.8091946,2.4892257567282194
58,58,C[S](C)(=O)=O,12.3,6.0171046,-6.282895400000001,-2.2968274480669493
72,72,Cl[S](Cl)(=O)=O,0.0,6.0171046,6.0171046,2.199662754718135
118,118,OCCCCO.OC(=O)C=C.OC(=O)C=C,4.2,13.221333,9.021332999999998,3.297913451265184
119,119,CO,10.0,20.880156,10.880156,3.977440232420597
135,135,C1CNCCN1,6.0,14.115115,8.115115,2.9666288692662013
157,157,N#CC#N,0.0,7.8756866,7.8756866,2.879101433911038
163,163,Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,6.0,11.724461,5.724461,2.092681528676854
176,176,Cl[P](Cl)(Cl)=O,0.0,7.3880343,7.3880343,2.700831207137411
1,1,O[P](O)(O)=O,28.4,20.591845,-7.808154999999999,-2.8544140210835254
21,21,OO,42.7,20.80033,-21.899670000000004,-8.005825333270442
38,38,CC#CC,7.6,1.9473228,-5.652677199999999,-2.0664396462850907
75,75,C=O,15.4,5.288501,-10.111499,-3.6964435925992825
119,119,CF,9.5,1.0239625,-8.4760375,-3.098570697332437
135,135,CC#C,9.2,2.7370348,-6.462965199999999,-2.3626552603854423
182,182,OCCO.O[S](O)=O,5.1,18.415693,13.315693000000001,4.867795375430401
53,53,C[SiH3],0.0,6.0309153,6.0309153,2.2047115089655827
61,61,CC(=O)Nc1ccc(O)cc1,13.9,20.411549,6.5115490000000005,2.3804159580044724
65,65,OC(=O)CS,20.0,13.867423,-6.1325769999999995,-2.2418758047418814
119,119,C1C=Cc2ccccc12,9.0,3.1215248,-5.8784752000000005,-2.1489842393589504
175,175,OCCOCCOCCOC=C,6.6,13.030194,6.430194,2.350675148211986
195,195,CCN=[N+]=[N-],12.9,6.123982,-6.7760180000000005,-2.477097443162226
