,Unnamed: 0,smiles,exp,predict,residual,std_residual
181,181,NC=O,26.2,17.680618,-8.519382,-2.714716699265304
183,183,Nc1ccccn1,8.1,17.554478,9.454478,3.012686754677327
2,2,CC=CCl,6.9,-0.48485395,-7.38485395,-2.3531972553525997
18,18,CCC=C,1.3,7.626594,6.326594,2.0159807813843393
40,40,Cc1cc(C)cc(C)c1,0.6,9.059322,8.459322,2.695578470112312
55,55,C/C=C/C#N,18.8,10.720093,-8.079907,-2.5746771844965544
70,70,ClC1C(Cl)(Cl)C1(Cl)Cl,10.5,2.6035511,-7.8964489,-2.516217924460382
74,74,N#CSC#N,13.5,5.513019,-7.986981,-2.545066144165703
81,81,CCC(C)=C,1.8,9.203943,7.403943000000001,2.3592800161453558
90,90,CCCCCC,0.0,7.236532,7.236532,2.3059341939553537
100,100,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.0,8.079768,8.079768,2.5746328918916213
102,102,Cl[S](Cl)=O,6.4,17.96854,11.56854,3.686336488270938
117,117,CC,0.0,6.5239396,6.5239396,2.078865318765869
120,120,CCc1ccc(CC)cc1,0.0,7.277179,7.277179,2.3188864350539493
125,125,CC(F)=O,14.0,7.4915113,-6.5084887,-2.073941861143159
141,141,ClC=CCl,8.0,-0.48485395,-8.48485395,-2.703714272806663
147,147,OCCOC(=O)C=C,13.2,6.6467676,-6.553232399999999,-2.0881995232103034
154,154,ClC1CC1,7.2,0.8385878,-6.3614122,-2.0270756646726293
5,5,ClC(=O)C(Cl)=O,3.8,11.7419615,7.941961500000001,2.530720597922728
9,9,C[Si](C)(C)C=C,1.0,7.7624326,6.7624326,2.1548615506237527
11,11,CCCC,0.0,8.027079,8.027079,2.557843445407406
15,15,O=C1C(=O)c2ccccc2c3ccccc13,17.1,8.019594,-9.080406000000002,-2.893488025810894
44,44,CCNC=O,10.0,16.646784,6.646784,2.1180099121285365
69,69,ClCCCCCCl,7.8,-0.4485734,-8.2485734,-2.628423042199022
77,77,OCC(O)CO.OC(O)=O,25.5,16.209885,-9.290115,-2.9603121832775066
90,90,CCC,0.0,8.392625,8.392625,2.6743253487367364
93,93,Nc1ccncc1,16.1,9.308927,-6.791073000000001,-2.163987866611654
94,94,s1ccnc1,18.8,12.168099,-6.631901000000001,-2.1132674168823833
96,96,CCC(C)C,0.0,9.36699,9.36699,2.9848085430200344
106,106,O=C(C#N)C#N,6.3,16.933725,10.633724999999998,3.3884559740242826
112,112,CC(Cl)=C(Cl)Cl,15.7,5.7540655,-9.9459345,-3.169290269757702
120,120,BrC(Br)=C,4.8,11.638297,6.838297,2.179035880822791
146,146,Cc1ccc(c(c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,3.5,11.235797,7.735797,2.465025901881902
149,149,CCCCCCCl,6.2,-0.4485734,-6.6485734,-2.118580107720384
