,Unnamed: 0,smiles,actual,predict,residual,std_residual
150,150,NC(=O)C=C,15.8,17.473486,1.6734860000000005,2.0217947866670456
165,165,NC(=O)c1ccccc1,21.2,19.430847,-1.7691529999999993,-2.1373733106917903
170,170,FC(Cl)(Cl)Cl,15.3,16.959738,1.6597380000000008,2.0051853649407225
188,188,Oc1ccc(O)cc1,21.0,18.68396,-2.316040000000001,-2.7980859103167552
8,8,CCSC#N,15.4,17.216597,1.8165969999999998,2.194692004638816
10,10,OC(F)(C(F)F)C(F)(F)F,17.2,13.640128,-3.5598719999999986,-4.300801232159686
19,19,CN(C)[P](=O)(N(C)C)N(C)C,18.5,16.744766,-1.7552340000000015,-2.120557298107512
28,28,ClC(Cl)(Cl)C#N,16.4,18.090693,1.690693000000003,2.0425831427657433
29,29,FC(F)F,14.4,12.591836,-1.8081639999999997,-2.1845038133805903
93,93,NN,14.2,16.51895,2.318950000000001,2.8016015793030515
108,108,CN(C)C=O,17.4,15.203372,-2.1966279999999987,-2.6538202522440315
151,151,NC(=O)NC(N)=O,20.0,18.175613,-1.8243870000000015,-2.2041033659457763
164,164,O[N+]([O-])=O,13.5,16.282795,2.782795,3.361988342515635
165,165,BrC=C(Br)Br,18.3,20.103426,1.8034259999999982,2.1787796760413882
171,171,SS,17.3,19.97961,2.6796100000000003,3.2373270695427876
185,185,CC(F)F,14.9,13.079419,-1.8205810000000007,-2.199505209189128
11,11,NCCc1c[nH]c2ccc(O)cc12,18.0,20.262472,2.262471999999999,2.7333686057607656
51,51,[O-][O+]=O,19.8,16.645884,-3.154116000000002,-3.81059374583541
52,52,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,12.4,14.168857,1.7688569999999988,2.1370157031247987
103,103,CN(C)CCOC(=O)COc1ccc(Cl)cc1,16.0,19.050335,3.0503350000000005,3.68521242519389
109,109,CCCCCCCCCCCCOC(=O)C(C)=C,14.4,16.554096,2.154096000000001,2.6024359108951836
124,124,ClB(Cl)Cl,16.6,18.320116,1.7201159999999973,2.078130059804842
157,157,N#CC#N,15.1,16.877419,1.777419,2.1473597436267484
173,173,BrCC=C,16.5,18.189505,1.6895050000000005,2.0411478799630873
47,47,CCCCCCCCCCCCCCCCCC(=O)OCCCC,14.5,17.023586,2.5235860000000017,3.048829221461037
75,75,C=O,12.8,15.071145,2.271144999999999,2.7438467491003355
82,82,FC(F)Cl,12.3,15.41779,3.1177899999999994,3.7667070820566444
100,100,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,12.4,14.159553,1.7595530000000004,2.1257752274380306
102,102,Cl[S](Cl)=O,16.9,18.638063,1.7380630000000004,2.0998124348210174
118,118,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10.6,12.262507,1.6625069999999997,2.0085306870792277
139,139,IC(=C)C=C,17.2,20.218954,3.018954000000001,3.6472999824244865
182,182,OCCO.O[S](O)=O,20.0,17.209532,-2.7904680000000006,-3.3712583521829385
186,186,OC(=O)C(Cl)=C,19.1,16.632875,-2.467125000000003,-2.9806167861911836
192,192,OC1CCOC1,18.9,17.169453,-1.7305469999999978,-2.090732102140257
5,5,ClC(=O)C(Cl)=O,16.1,18.41931,2.319309999999998,2.802036507425064
23,23,CNC=O,17.4,15.583213,-1.816786999999998,-2.1949215500365447
45,45,CCC1COC(=O)O1,17.5,19.445581,1.9455810000000007,2.3505219182224755
55,55,ClC(Cl)(Cl)Cl,16.1,18.021835,1.921834999999998,2.321833576040825
59,59,IC(=C)C=C,19.9,17.565828,-2.334171999999999,-2.8199917900622937
61,61,CC(=O)Nc1ccc(O)cc1,17.8,19.98289,2.1828900000000004,2.637222911854433
79,79,BrC#N,18.3,16.560507,-1.7394929999999995,-2.1015400659723578
82,82,C=C,15.0,12.644325,-2.3556749999999997,-2.8459702884170475
84,84,ICC=C,18.3,15.904175,-2.3958250000000003,-2.894476855358559
85,85,o1ncc2ccccc12,20.6,18.90514,-1.694860000000002,-2.047617435778078
90,90,CCC,13.1,15.206262,2.106262000000001,2.5446460448159742
106,106,O=C(C#N)C#N,15.0,16.688814,1.6888140000000007,2.040313059595551
107,107,C1CCCCCCCCCCC1,16.4,18.078403,1.678403000000003,2.0277351799335843
111,111,C=CN1CCCC1=O,16.4,18.337233,1.9372330000000026,2.340436418326395
120,120,BrC(Br)=C,16.2,18.811256,2.611256000000001,3.154746300508665
148,148,ICI,22.0,16.903318,-5.096682000000001,-6.157473141036
