,Unnamed: 0,0,1,2,SMILES,Mol_No,actual,predict,residual,std_residual
42,42,263,263,263,CCC(C)(C)CC,263,-4.23,-1.2774707,2.9525293,2.5297079052158162
45,45,271,271,271,Cc1cncc(C)c1,271,0.38,-2.3937747,-2.7737746999999997,-2.3765521262998566
67,67,399,399,399,Cc1cc(=O)n(c2ccccc2)n1C,399,0.715,-2.456032,-3.171032,-2.7169195977470295
88,88,512,512,512,c1ccc2c(c1)ccc3c4ccccc4ccc23,512,-8.057,-5.4088206,2.6481794,2.2689428899519055
93,93,559,559,559,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,559,-8.402,-5.9054174,2.496582599999999,2.1390557374804895
140,140,843,843,843,ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,843,-6.8,-2.130415,4.669585,4.000870063703413
157,157,963,963,963,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,963,-7.87,-5.334208,2.535792,2.1726500964386783
163,163,1006,1006,1006,c1ccc(cc1)c2ccc(cc2)c3ccccc3,1006,-7.11,-4.508146,2.6018540000000003,2.229251588465995
175,175,1057,1057,1057,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,1057,-1.981,-4.3401246,-2.3591246000000003,-2.021282616910559
189,189,1131,1131,1131,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,1131,-4.19,-1.4623731,2.7276269000000006,2.3370129913390905
16,16,119,119,119,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,119,-9.15,-5.3788395,3.7711605000000006,3.231105794170317
23,23,147,147,147,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,147,-7.92,-5.213539,2.706461,2.3188781858518057
33,33,186,186,186,Cc1cccc(C)n1,186,0.45,-2.0812583,-2.5312583,-2.1687656517593736
101,101,672,672,672,CCOC(=O)c1cncn1C(C)c2ccccc2,672,-4.735,-1.9827569,2.7522431000000003,2.3581039914305624
111,111,770,770,770,COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,770,-3.021,-5.5069385,-2.4859385000000005,-2.1299359418144803
113,113,778,778,778,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,778,-6.005,-3.2936943,2.7113057,2.3230290933088122
116,116,819,819,819,CNN,819,1.34,-1.1246315,-2.4646315000000003,-2.1116802427647086
152,152,968,968,968,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,968,-4.16,-1.4299613,2.7300387,2.3390794058961952
171,171,1072,1072,1072,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,1072,-7.28,-4.065452,3.2145480000000006,2.754203823581257
179,179,1111,1111,1111,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,1111,-4.88,-1.7810103,3.0989896999999997,2.6551942235670243
186,186,1133,1133,1133,c1ccc2c(c1)c3ccccc3c4ccccc24,1133,-6.726,-3.8369799,2.8890200999999998,2.4752936356287427
188,188,1139,1139,1139,CNC(=O)C(C)SCCSP(=O)(OC)(OC),1139,1.144,-2.5603073,-3.7043073,-3.173826407127833
0,0,13,13,13,Brc1cc(Br)c(Br)cc1Br,13,-6.98,-4.2770243,2.7029757000000005,2.3158920034752084
12,12,95,95,95,Cc1cccc2ccccc12,95,-3.7,-6.0743656,-2.3743656,-2.0343410066049112
35,35,258,258,258,O=C1CCCN1,258,1.07,-1.8182164,-2.8882164,-2.4746050306948573
41,41,295,295,295,c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,295,-7.92,-4.356281,3.563719,3.0533712658728915
57,57,387,387,387,Nc1nc[nH]n1,387,0.522,-1.9366297,-2.4586297,-2.1065379395518242
94,94,612,612,612,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,612,-7.32,-3.8641837,3.4558163000000004,2.960920934157596
95,95,619,619,619,CCN(CC)C(=S)SSC(=S)N(CC)CC,619,-4.86,-1.7690411,3.0909589000000004,2.648313486347852
99,99,639,639,639,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,639,-6.124,-3.6924736,2.4315263999999996,2.0833160083528903
101,101,645,645,645,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,645,-5.54,-2.3520377,3.1879623,2.7314253686965935
106,106,671,671,671,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,671,-8.6,-5.431284,3.168716,2.714935264006978
116,116,719,719,719,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,719,-4.92,-2.4584806,2.4615194,2.109013815721352
117,117,725,725,725,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,725,-4.43,-2.0905826,2.3394174,2.0043976160979775
126,126,775,775,775,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,775,-4.64,-2.153653,2.486347,2.1302859419581806
135,135,806,806,806,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,806,-5.19,-2.5027342,2.6872658000000005,2.30243186330991
154,154,957,957,957,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,957,-4.862,-2.4019446,2.4600554,2.107759470041112
175,175,1064,1064,1064,O=C1CCC(=O)N1,1064,0.3,-2.4632187,-2.7632187,-2.3675078141409704
