,Unnamed: 0,smiles,exp,predict,residual,std_residual
58,58,COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,-3.021,-5.354516,-2.3335160000000004,-2.745078148685847
67,67,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,-4.3963723,-1.9183723000000001,-2.2567155664560303
72,72,c2c(C)cc1nc(C)ccc1c2 ,-1.94,-4.3117843,-2.3717843000000003,-2.790095827637847
91,91,CCCCCCCCl,-4.0,-5.958467,-1.9584669999999997,-2.303881767522624
99,99,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,-6.342031,2.2579689999999992,2.6562069265049097
107,107,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,-3.7479854,-2.1469854,-2.525649152218173
109,109,ClC(=C(Cl)Cl)Cl,-2.54,-4.36789,-1.82789,-2.150274905850816
115,115,c1ccc2c(c1)sc3ccccc23,-4.38,-6.223084,-1.8430840000000002,-2.1681486711865294
156,156,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,-7.9094915,-1.7334914999999995,-2.0392273451661143
160,160,C=CCS(=O)SCC=C,-0.83,-2.5401363,-1.7101362999999998,-2.0117529892250423
172,172,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,-5.82604,-1.93004,-2.270441098363856
6,6,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,-3.3685148,2.0614852,2.4250692844442776
44,44,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-3.561,-5.7905564,-2.2295564,-2.622783197073721
55,55,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,-3.84,-5.5718246,-1.7318246000000004,-2.037266454061857
84,84,C1=Cc2cccc3cccc1c23,-3.96,-6.1485877,-2.1885877000000002,-2.574588848652684
129,129,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC ,-5.115,-6.9799056,-1.8649056000000002,-2.193818946140446
148,148,ClC(Cl)C(Cl)(Cl)Cl,-2.6,-4.523275,-1.9232749999999998,-2.2624829555116706
189,189,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4,-3.6017432,1.7982568000000003,2.115415299233318
6,6,c1cC2C(=O)NC(=O)C2cc1,-2.932,-1.0540721,1.8779279,2.209137988810662
37,37,c1ccc2c(c1)c3cccc4cccc2c34,-6.0,-7.8644547,-1.8644546999999996,-2.19328852092063
81,81,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445,-6.6368146,-2.1918146,-2.578384876911326
101,101,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.576,-2.6581042,1.9178957999999997,2.256155026164963
105,105,CNC(=O)C(C)SCCSP(=O)(OC)(OC),1.144,-2.519071,-3.6630709999999995,-4.3091267251584355
138,138,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,-1.8735931,-2.3965931,-2.8192801549684146
167,167,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-2.3,-5.259432,-2.9594320000000005,-3.481386935303488
190,190,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522,-6.6321044,-2.1101044,-2.4822634513266073
