,Unnamed: 0,smiles,actual,predict,residual,std_residual
147,147,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883,-3.0159893,1.8670106999999998,2.3638099333791978
156,156,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,-8.230482,-2.054482,-2.601166109840057
161,161,CCOP(=O)(OCC)OCC,0.43,-2.2120538,-2.6420538000000002,-3.3450868904834112
168,168,CCCCCCCCC,-5.88,-4.18397,1.6960299999999995,2.1473323968143943
0,0,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,-4.0562315,2.2837685,2.8914642352282773
14,14,CCCCCCCCC=C,-5.51,-3.5639806,1.9460194,2.463842327346397
19,19,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34,-3.7089436,2.6310564,3.3311631548768905
27,27,O=C1CCCCC1,-0.6,-2.2836266,-1.6836265999999998,-2.1316285338811634
44,44,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-3.561,-6.0479264,-2.4869263999999998,-3.148681112487983
95,95,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96,-4.8210306,2.1389693999999997,2.708135049742426
133,133,CCCCN(CC)C(=O)SCCC,-3.53,-1.5910081,1.9389918999999998,2.4549448559463554
139,139,COP(=O)(NC(C)=O)SC ,0.54,-2.3370879,-2.8770879000000003,-3.6426620143232693
141,141,OCCCC=C,-0.15,-2.101543,-1.951543,-2.4708357208754292
151,151,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-5.03,-3.4249315,1.6050685000000002,2.032166641602027
11,11,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,-4.3520927,1.7919073,2.2687220139845468
28,28,CNC(=O)ON=C(SC)C(=O)N(C)C,0.106,-1.9020784,-2.0080784,-2.5424148179355406
45,45,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.604,-5.3754587,-1.7714587000000002,-2.2428321763935264
48,48,OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 ,-3.931,-6.0355673,-2.1045673000000003,-2.664578777831878
54,54,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 ,-4.632,-3.042673,1.5893269999999995,2.0122364322752726
80,80,CC(C)=CCCC(C)=CC(=O),-2.06,-3.6796403,-1.6196403,-2.05061590147355
103,103,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.637,-4.163704,2.4732959999999995,3.1314237529474447
105,105,CNC(=O)C(C)SCCSP(=O)(OC)(OC),1.144,-1.6161706,-2.7601706,-3.494633791922682
111,111,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,-3.670805,1.7991949999999997,2.277948922888436
115,115,Nc2nc1[nH]cnc1c(=O)[nH]2 ,-3.583,-1.8470287,1.7359713,2.197901813311086
138,138,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,-2.6325412,-3.1555412,-3.995209900911288
167,167,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-2.3,-4.908603,-2.6086030000000004,-3.3027350532285524
188,188,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,-5.4688025,-1.8978024999999996,-2.402795228271522
